attribute_id,attribute_name,attribute_description,unit,data_format,ontology_iri,note
ATTR_00001,trl,"Technology Readiness Level on the standard 1–9 scale, representing the maturity of the technology. Values progress from 1 (basic principles) to 9 (commercially deployed) across different technology years as per Nomenclature 4.2.",—,int,,
ATTR_00002,tech_maturity,"Aggregated maturity classification derived from Technology Readiness Level (TRL), indicating the stage of technological development. Allowed values: Prototype (early development), Emerging (pilot/demonstration phase), Mature (commercially deployed).",—,text,,
ATTR_00003,technical_efficiency,"Overall energy conversion efficiency defined as the ratio of main output energy (kWh for electricity/heat, LHV for chemical fuels) to main input energy, with operational bounds 0 < η ≤ 1. Follows EU EF 3.1 method for energy accounting and PREMISE v2.3.6 LCA framework conventions.",unitless,float,,
ATTR_00004,theoretical_efficiency,"Ratio of the main outputs energy content (LHV) to the main inputs energy content (LHV) at theoretical maximum, representing the upper bound of efficiency without real-world losses. Values are constrained to 0 < η ≤ 1, and are expressed as a dimensionless ratio.",dimensionless,float,,
ATTR_00005,lifetime_yr,"Expected operational lifetime of the technology, defined as the period over which the asset is expected to function under normal operating conditions. Must be greater than 0. Note: 'nan' indicates missing or undefined values in source data.",years,int,,
ATTR_00006,capex_one_time,Fixed one-time capital expenditure independent of installed capacity. Represents per-project lump sum costs in Euros (EUR). Must be non-negative.,EUR,float,,
ATTR_00007,capex_per_capacity,"Specific capital expenditure normalized to installed power capacity (kW), representing total upfront investment cost (EUR) per unit of nameplate capacity. Must be non-negative (≥ 0). Engineering definition aligns with technology-specific CAPEX scaling parameters in ConvTech, with currency anchored to EUR.",EUR/kW,float,,
ATTR_00008,opex_one_time,"Fixed one-time operational expenditure independent of technology capacity, encompassing non-recurring costs such as installation, commissioning, or initial maintenance. Excludes recurring annual operational costs.",EUR,float,,
ATTR_00009,opex_fix_pct_of_capex,"Fixed annual operational expenditure expressed as a percentage of total capital expenditure (CAPEX), representing recurring non-variable costs such as maintenance, insurance, and administrative expenses relative to initial investment.",%,float,,
ATTR_00010,opex_per_capacity_yr,"Fixed annual operational expenditure per unit of installed capacity (kW), excluding fuel costs. Represents recurring annual costs for operation, maintenance, and consumables, normalised to installed capacity. Must be ≥ 0. Expressed in Euros (EUR) per kW per year.",EUR/kW/yr,float,,
