original_name,process_name,process_id,status
CCGT,CCGT,PROC_00001,created
OCGT,OCGT,PROC_00002,created
CHP plant,CHP plant,PROC_00003,created
SOFC,SOFC,PROC_00004,created
Geothermal power plant,Geothermal power plant,PROC_00005,created
Pumped hydro (pump mode),Pumped hydro (pump mode),PROC_00006,created
Pumped hydro (turbine mode),Pumped hydro (turbine mode),PROC_00007,created
Run-of-river plant,Run-of-river plant,PROC_00008,created
Reservoir plant,Reservoir plant,PROC_00009,created
Incineration plant,Incineration plant,PROC_00010,created
Ground-mounted PV (alpine),Ground-mounted PV (alpine),PROC_00011,created
Rooftop PV,Rooftop PV,PROC_00012,created
Pressurised water reactor,Pressurised water reactor,PROC_00013,created
Onshore wind turbine,Onshore wind turbine,PROC_00014,created
Biomass CHP plant,Biomass CHP plant,PROC_00015,created
Gas-fired boiler,Gas-fired boiler,PROC_00016,created
Resistance heater,Resistance heater,PROC_00017,created
Air conditioning unit,Air conditioning unit,PROC_00018,created
Hydrogen burner,Hydrogen burner,PROC_00019,created
Air-source heat pump,Air-source heat pump,PROC_00020,created
Industrial heat pump,Industrial heat pump,PROC_00021,created
Oil-fired boiler,Oil-fired boiler,PROC_00022,created
Biomass furnace,Biomass furnace,PROC_00023,created
Haber–Bosch reactor,Haber–Bosch reactor,PROC_00024,created
Anaerobic digester,Anaerobic digester,PROC_00025,created
Sabatier reactor,Sabatier reactor,PROC_00026,created
HEFA reactor,HEFA reactor,PROC_00027,created
Methanol synthesis reactor,Methanol synthesis reactor,PROC_00028,created
RWGS reactor,RWGS reactor,PROC_00029,created
Alkaline electrolyser,Alkaline electrolyser,PROC_00030,created
FT reactor,FT reactor,PROC_00031,created
Fluidised bed gasifier,Fluidised bed gasifier,PROC_00032,created
MtO + oligomerisation reactor,MtO + oligomerisation reactor,PROC_00033,created
SOEC co-electrolyser,SOEC co-electrolyser,PROC_00034,created
Methane pyrolysis reactor,Methane pyrolysis reactor,PROC_00035,created
Amine absorber,Amine absorber,PROC_00036,created
Pyrolysis reactor,Pyrolysis reactor,PROC_00037,created
DAC (sorbent-based),DAC (sorbent-based),PROC_00038,created
Pressure swing adsorption,Pressure swing adsorption,PROC_00039,created
Li-ion battery (residential),Li-ion battery (residential),PROC_00040,created
Li-ion battery (grid-scale),Li-ion battery (grid-scale),PROC_00041,created
Pumped hydro reservoir,Pumped hydro reservoir,PROC_00042,created
Hydro reservoir,Hydro reservoir,PROC_00043,created
High-temperature heat storage,High-temperature heat storage,PROC_00044,created
Hot water tank (residential),Hot water tank (residential),PROC_00045,created
Seasonal thermal storage,Seasonal thermal storage,PROC_00046,created
Compressed H₂ tank,Compressed H₂ tank,PROC_00047,created
Pipeline linepack,Pipeline linepack,PROC_00048,created
Compressed CH₄ tank,Compressed CH₄ tank,PROC_00049,created
Underground gas storage,Underground gas storage,PROC_00050,created
Compressed CO₂ tank,Compressed CO₂ tank,PROC_00051,created
Compressed CO tank,Compressed CO tank,PROC_00052,created
